article_id,DOI,journal_name,title
2369,https://doi.org/10.1111/bjhp.12276,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,Self-management support in routine primary care by nurses
5273,https://doi.org/10.1016/j.addbeh.2018.03.027,ADDICTIVE BEHAVIORS,Difficulties regulating positive emotions and alcohol and drug misuse: A path analysis
1252,https://doi.org/10.1002/eat.22890,INTERNATIONAL JOURNAL OF EATING DISORDERS,Social anxiety and eating disorder comorbidity and underlying vulnerabilities: Using network analysis to conceptualize comorbidity
356,https://doi.org/10.1016/j.invent.2018.01.001,INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,Internet-based cognitive behavioral therapy for adolescents with anxiety disorders: A feasibility study
7700,https://doi.org/10.1002/bin.1504,BEHAVIORAL INTERVENTIONS,Using backward chaining and a physical guidance delay to teach self-feeding
3954,https://doi.org/10.1037/hea0000635,HEALTH PSYCHOLOGY,Perceived Weight and Barriers to Physical Activity in Parent-Adolescent Dyads
5403,https://doi.org/10.1080/17522439.2018.1460392,PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES,Psychotherapy in schizophrenia: a retrospective controlled study
932,https://doi.org/10.1002/capr.12186,COUNSELLING & PSYCHOTHERAPY RESEARCH,"""It's like a refuge"": Young people's relationships with school counsellors"
5637,https://doi.org/10.1080/17432979.2018.1448302,BODY MOVEMENT AND DANCE IN PSYCHOTHERAPY,Resistance as a 'dance' between client and therapist
4002,https://doi.org/10.1080/08975353.2017.1410768,JOURNAL OF FAMILY PSYCHOTHERAPY,Developing Alternative Stories with Partners of Illicit Substance Users
259,https://doi.org/10.1080/15332691.2018.1433569,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,"Forgiveness, Attributions, and Marital Quality in U.S. and Indian Marriages"
5434,https://doi.org/10.1037/fam0000372,JOURNAL OF FAMILY PSYCHOLOGY,Bidirectional Effects Between Parenting Sensitivity and Child Behavior: A Cross-Lagged Analysis Across Middle Childhood and Adolescence
481,https://doi.org/10.1017/S1355617718000462,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,Modeling the Structure of Acute Sport-Related Concussion Symptoms: A Bifactor Approach
7326,https://doi.org/10.1002/jts.22257,JOURNAL OF TRAUMATIC STRESS,Parent Discrepancies in Ratings of Child Behaviors Following Wartime Deployment
8491,https://doi.org/10.1016/j.addbeh.2017.09.018,ADDICTIVE BEHAVIORS,Testing weight motives and guilt/shame as mediators of the relationship between alcohol use and physical activity
2454,https://doi.org/10.1080/0167482X.2017.1312335,JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,Impact of different educational interventions on psychosocial well-being of women with a positive high-risk human papillomavirus and normal cervical cytology: a randomised trial
7789,https://doi.org/10.1007/s10802-017-0303-8,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,The Mediating Role of Autonomy and Relatedness on Maternal and Child Outcomes
5468,https://doi.org/10.1037/rep0000205,REHABILITATION PSYCHOLOGY,Coping and Posttraumatic Growth: A Longitudinal Comparison of Two Alternative Views
6341,https://doi.org/10.1017/S1041610216001204,INTERNATIONAL PSYCHOGERIATRICS,Attitudes to diagnosis and management in dementia care: views of future general practitioners
2274,https://doi.org/10.1177/1359105316644294,JOURNAL OF HEALTH PSYCHOLOGY,A critical review of sanctioned knowledge production concerning abortion in Africa: Implications for feminist health psychology
2552,https://doi.org/10.1177/1359105316669879,JOURNAL OF HEALTH PSYCHOLOGY,Nutritionism and the construction of 'poor choices' in families facing food insecurity
727,https://doi.org/10.1007/s40617-018-00285-7,BEHAVIOR ANALYSIS IN PRACTICE,The Use of a Multicomponent Behavioral Intervention to Promote Physical Activity in Adolescents with Autism Spectrum Disorders across Inclusive Community Settings
945,https://doi.org/10.1037/abn0000372,JOURNAL OF ABNORMAL PSYCHOLOGY,Eye Avoidance in Young Children With Autism Spectrum Disorder Is Modulated by Emotional Facial Expressions
626,https://doi.org/10.1002/eat.22957,INTERNATIONAL JOURNAL OF EATING DISORDERS,Self-report measures of loss of control over eating: Psychometric properties in clinical and non-clinical samples
4358,https://doi.org/10.1007/s12671-017-0865-0,MINDFULNESS,"Single vs. Group Mindfulness Meditation: Effects on Personality, Religiousness/Spirituality, and Mindfulness Skills"
6534,https://doi.org/10.1007/s10508-017-1037-y,ARCHIVES OF SEXUAL BEHAVIOR,Face Validity Ratings of Sexual Orientation Scales by Sexual Minority Adults: Effects of Sexual Orientation and Gender Identity
1396,https://doi.org/10.1002/eat.22925,INTERNATIONAL JOURNAL OF EATING DISORDERS,Emotion dysregulation and eating disordersAssociations with diagnostic presentation and key symptoms
5123,https://doi.org/10.1002/hup.2663,HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,Why meta is better: A reply to Linden-Carmichael et al. (2018)
2818,https://doi.org/NA,BEHAVIOR THERAPY,Behavioral Versus Nonbehavioral Guided Self-Help for Parents of Children With Externalizing Disorders in a Randomized Controlled Trial
517,https://doi.org/10.1080/07317107.2018.1522152,CHILD & FAMILY BEHAVIOR THERAPY,Gender and Age Differences in Social Skills Among Children with ADHD: Peer Problems and Prosocial Behavior
8225,https://doi.org/10.1002/eat.22802,INTERNATIONAL JOURNAL OF EATING DISORDERS,Normal white matter microstructure in women long-term recovered from anorexia nervosa: A diffusion tensor imaging study
8566,https://doi.org/10.1016/j.addbeh.2017.08.016,ADDICTIVE BEHAVIORS,"The association between multidimensional feminine norms, binge drinking and alcohol-related problems among young adult college women"
103,https://doi.org/10.1176/appi.psychotherapy.20180012,AMERICAN JOURNAL OF PSYCHOTHERAPY,Unconscious Repetition of a Patient's Dynamics on an Inpatient Unit: Treatment Challenges
5348,https://doi.org/10.1016/j.bodyim.2018.02.008,BODY IMAGE,Weight bias internalization across weight categories among school-aged children. Validation of the Weight Bias Internalization Scale for Children
7146,https://doi.org/10.1080/13854046.2017.1368715,CLINICAL NEUROPSYCHOLOGIST,Performance on the Test of Memory Malingering is predicted by the number of errors on its first 10 items on an inpatient epilepsy monitoring unit
1693,https://doi.org/10.1002/jclp.22644,JOURNAL OF CLINICAL PSYCHOLOGY,"Travelling the circle together, solo: An individual protocol for the Circle of Security intensive intervention"
4172,https://doi.org/10.1111/bjc.12173,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,Emotional preferences and goals and emotion dysregulation in children with Asperger's syndrome and typically developing children
5897,https://doi.org/10.1080/00952990.2018.1460375,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,High-alcohol-content flavored alcoholic beverages (supersized alcopops) should be reclassified to reduce public health hazard
5611,https://doi.org/10.1177/0002764218768844,AMERICAN BEHAVIORAL SCIENTIST,Developing Sustainable Methods for Broadening Participation by Transforming Mainstream Science and Technology Communities Through the Normalization of Inclusion
3619,https://doi.org/10.1016/j.jbtep.2018.06.012,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,Attention bias for appearance words can be reduced in women: Results from a single-session attention bias modification task
16,https://doi.org/10.1080/09638237.2018.1466040,JOURNAL OF MENTAL HEALTH,"Mental health and debt collection: a story of progress? Exploring changes in debt collectors' attitudes and practices when working with customers with mental health problems, 2010-2016"
5445,https://doi.org/10.1007/s11469-017-9801-8,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Sensitivity of the ASAM Criteria to Psychiatric Need
988,https://doi.org/10.1037/abn0000387,JOURNAL OF ABNORMAL PSYCHOLOGY,"An Experimental Test of the Role of Appearance-Related Safety Behaviors in Body Dysmorphic Disorder, Social Anxiety, and Body Dissatisfaction"
7810,https://doi.org/10.1080/10640266.2018.1418314,EATING DISORDERS,Affective predictors of the severity and change in eating psychopathology in residential eating disorder treatment: The role of social anxiety
8274,https://doi.org/10.1080/10503307.2016.1169329,PSYCHOTHERAPY RESEARCH,A conceptual model for generating and validating in-session clinical judgments
2344,https://doi.org/10.1016/j.janxdis.2017.08.002,JOURNAL OF ANXIETY DISORDERS,Lower-order anxiety sensitivity and intolerance of uncertainty dimensions operate as specific vulnerabilities for social anxiety and depression within a hierarchical model
149,https://doi.org/10.1177/2055102918819260,HEALTH PSYCHOLOGY OPEN,Weight and social comparison: Does the weight of a stranger affect a person's perception of their own weight?
7140,https://doi.org/10.1007/s10608-017-9872-7,COGNITIVE THERAPY AND RESEARCH,Increased Attention Regulation from Emotion Regulation Therapy for Generalized Anxiety Disorder
5689,https://doi.org/10.1080/09638237.2018.1437611,JOURNAL OF MENTAL HEALTH,Undergraduate mental health issues: the challenge of the second year of study
100,https://doi.org/10.1176/appi.psychotherapy.20180015,AMERICAN JOURNAL OF PSYCHOTHERAPY,Mindfulness-Based Psychotherapy Approaches for First Responders: From Research to Clinical Practice
2346,https://doi.org/10.1007/s10508-017-0990-9,ARCHIVES OF SEXUAL BEHAVIOR,Gay Men's Health and Identity: Social Change and the Life Course
2450,https://doi.org/10.1177/1073191116653471,ASSESSMENT,Evaluating the Structure of Sluggish Cognitive Tempo Using Confirmatory Factor Analytic and Bifactor Modeling With Parent and Youth Ratings
91,https://doi.org/10.1176/appi.psychotherapy.20180017,AMERICAN JOURNAL OF PSYCHOTHERAPY,"The Supervision Pyramid: A Commonalities-Based Synthesis of Intervention, Relationship, and Person/Personhood"
6925,https://doi.org/10.1080/00224499.2017.1298715,JOURNAL OF SEX RESEARCH,The Context of Sexual Decisions and Intrapersonal and Interpersonal Factors Related to Sexual Initiation Among Female Military-Dependent Youth
7349,https://doi.org/10.1111/cp.12094,CLINICAL PSYCHOLOGIST,Characteristics of non-suicidal self-injury in women accessing internet help sites
5174,https://doi.org/10.1080/87568225.2017.1400299,JOURNAL OF COLLEGE STUDENT PSYCHOTHERAPY,Therapist Directiveness and Client Reactance in the Administration of Homework in Therapy with College Students
6995,https://doi.org/10.1080/17454832.2017.1360372,INTERNATIONAL JOURNAL OF ART THERAPY,'Who is in the castle?' One man's use of the Frankenstein story in art therapy
4816,https://doi.org/10.1037/per0000280,PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,Borderline Personality Disorder Affective Instability: What You Know Impacts How You Feel
5878,https://doi.org/10.1177/1359105316681063,JOURNAL OF HEALTH PSYCHOLOGY,Will personal values predict the development of smoking and drinking behaviors? A prospective cohort study of children and adolescents in Taiwan
6782,https://doi.org/10.1080/00223891.2017.1282866,JOURNAL OF PERSONALITY ASSESSMENT,Computer Scoring of Emotional Awareness in a Nonclinical Population of Young Adults
6586,https://doi.org/10.1016/j.addbeh.2018.02.010,ADDICTIVE BEHAVIORS,Race/ethnicity and racial group composition moderate the effectiveness of mindfulness-based relapse prevention for substance use disorder
5232,https://doi.org/10.1037/pha0000192,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,Cigarette and E-Liquid Demand and Substitution in E-Cigarette-Naive Smokers
4680,https://doi.org/10.1002/jaba.462,JOURNAL OF APPLIED BEHAVIOR ANALYSIS,Functional analysis screening for multiple topographies of problem behavior
7453,https://doi.org/10.1016/j.addbeh.2017.11.007,ADDICTIVE BEHAVIORS,Industry interests in gambling research: Lessons learned from other forms of hazardous consumption
951,https://doi.org/10.1037/abn0000379,JOURNAL OF ABNORMAL PSYCHOLOGY,Patterns and Predictors of Persistence of Suicide Ideation: Results From the Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS)
8102,https://doi.org/10.1016/j.jsat.2017.11.010,JOURNAL OF SUBSTANCE ABUSE TREATMENT,"Increasing diversion of methadone in Vancouver, Canada, 2005-2015"
5261,https://doi.org/10.1016/j.addbeh.2018.01.003,ADDICTIVE BEHAVIORS,Situational HIV stigma and stimulant use: A day-level autoregressive cross lagged path model among HIV-positive gay and bisexual men
1925,https://doi.org/10.1177/0002764217739660,AMERICAN BEHAVIORAL SCIENTIST,"Narcissism, Fame Seeking, and Mass Shootings"
4407,https://doi.org/10.1177/0093854818777556,CRIMINAL JUSTICE AND BEHAVIOR,"When Does Religion Matter With Regard to Crime? Examining the Relationship Between Genetics, Religiosity, and Criminal Behavior"
2859,https://doi.org/10.1177/0002764218773495,AMERICAN BEHAVIORAL SCIENTIST,Foundations in Australia: Dimensions for International Comparison
4856,https://doi.org/10.30552/ejihpe.v8i1.224,EUROPEAN JOURNAL OF INVESTIGATION IN HEALTH PSYCHOLOGY AND EDUCATION,Why is he special? The importance of educational diet in children with Hemiplegic Cerebral Palsy: a case study
1889,https://doi.org/10.1177/0093854818758808,CRIMINAL JUSTICE AND BEHAVIOR,Police Officers' Perceptions of Statement Inconsistency
8553,https://doi.org/10.1016/j.addbeh.2017.08.027,ADDICTIVE BEHAVIORS,Motives for simultaneous alcohol and marijuana use among young adults
1907,https://doi.org/10.1002/eat.22869,INTERNATIONAL JOURNAL OF EATING DISORDERS,Weight suppression and weight elevation are associated with eating disorder symptomatology in women age 50 and older: Results of the gender and body image study
3310,https://doi.org/10.1016/j.addbeh.2018.06.027,ADDICTIVE BEHAVIORS,Comparing cigarette and e-cigarette dependence and predicting frequency of smoking and e-cigarette use in dual-users of cigarettes and e-cigarettes
6670,https://doi.org/NA,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,"HOME IS WHERE YOU HANG YOUR HAT: HOST TOWN IDENTITY, BUT NOT HOMETOWN IDENTITY, PROTECTS AGAINST MENTAL HEALTH SYMPTOMS ASSOCIATED WITH FINANCIAL STRESS"
2310,https://doi.org/10.1002/capr.12139,COUNSELLING & PSYCHOTHERAPY RESEARCH,Attitudes of therapists towards people with learning disabilities
4395,https://doi.org/10.1017/S1041610217002411,INTERNATIONAL PSYCHOGERIATRICS,Polimedication: applicability of a computer tool to reduce polypharmacy in nursing homes
7614,https://doi.org/10.1111/papt.12151,PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,Treatment of obsessive morbid jealousy with cognitive analytic therapy: An adjudicated hermeneutic single-case efficacy design evaluation
4895,https://doi.org/10.1080/13803395.2017.1420143,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,Diagnosis threat and underperformance: The threat must be relevant and implicit
6050,https://doi.org/10.1016/j.addbeh.2018.02.023,ADDICTIVE BEHAVIORS,Shame mediates the relationship between depression and addictive behaviours
2910,https://doi.org/10.1177/0198742918763946,BEHAVIORAL DISORDERS,Positive Behavior Interventions and Supports Implementation in Secure Care Juvenile Justice Schools: Results of a National Survey of School Administrators
1248,https://doi.org/10.1017/S1041610217002678,INTERNATIONAL PSYCHOGERIATRICS,Aiding medical professionals in fitness-to-drive screenings for elderly drivers: development of an office-based screening tool
7382,https://doi.org/10.1080/09638237.2017.1340604,JOURNAL OF MENTAL HEALTH,"Practitioners' experience of the integration of mental health into primary health care in the West Rand District, South Africa"
4390,https://doi.org/10.1037/ccp0000319,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,Severe and Enduring Anorexia Nervosa? Illness Severity and Duration Are Unrelated to Outcomes From Cognitive Behaviour Therapy
607,https://doi.org/10.1002/jts.22338,JOURNAL OF TRAUMATIC STRESS,A Randomized Controlled Trial of Group Cognitive Behavioral Treatment for Veterans Diagnosed With Chronic Posttraumatic Stress Disorder
2831,https://doi.org/10.1037/ser0000138,PSYCHOLOGICAL SERVICES,Increased Utilization of Prolonged Exposure and Cognitive Processing Therapy Over Time: A Case Example From a Large Veterans Affairs Posttraumatic Stress Disorder Clinic
2474,https://doi.org/10.1037/int0000129,JOURNAL OF PSYCHOTHERAPY INTEGRATION,Reactance and Engagement in Integrative Group Psychotherapy for Personality Dysfunction
2236,https://doi.org/10.1007/s10508-017-0989-2,ARCHIVES OF SEXUAL BEHAVIOR,Economic and Social Political Ideology and Homophobia: The Mediating Role of Binding and Individualizing Moral Foundations
8446,https://doi.org/10.1002/jclp.22495,JOURNAL OF CLINICAL PSYCHOLOGY,Black and White Parents' Willingness to Seek Help for Children's Internalizing and Externalizing Symptoms
8460,https://doi.org/10.4088/JCP.16cs10905,JOURNAL OF CLINICAL PSYCHIATRY,Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression
4736,https://doi.org/10.1007/s10508-018-1176-9,ARCHIVES OF SEXUAL BEHAVIOR,"Associations Between Patterns of Sexual Initiation, Sexual Partnering, and Sexual Health Outcomes from Adolescence to Early Adulthood"
3482,https://doi.org/10.1177/0002764218787027,AMERICAN BEHAVIORAL SCIENTIST,"""I'm Not a Traditional Woman"": Tranquilizer Misuse as Self-Medication Among Adult Women"
2089,https://doi.org/10.1177/2167702617728705,CLINICAL PSYCHOLOGICAL SCIENCE,Why You Don't See the Forest for the Trees When You Are Anxious: Anxiety Impairs Intuitive Decision Making
7361,https://doi.org/10.1007/s10879-017-9366-7,JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,Exploring Associations Between Therapy Factors and Post-therapy Development After Naturalistic Psychotherapies
1122,https://doi.org/10.1037/int0000095,JOURNAL OF PSYCHOTHERAPY INTEGRATION,Clinical Implications of a General Psychopathology Factor: A Cognitive-Behavioral Transdiagnostic Group Treatment for Community Mental Health
6681,https://doi.org/10.1002/cpp.2164,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,The cognitive-behavioural model of hoarding disorder: Evidence from clinical and non-clinical cohorts
162,https://doi.org/10.1177/2055102918792705,HEALTH PSYCHOLOGY OPEN,Toward the prevention of alcohol use disorders: Overdrinking (unintentional binge drinking) in a community sample
636,https://doi.org/10.1080/15374416.2018.1469091,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,Longitudinal Association Between Peer Victimization and Sleep Problems in Preschoolers: The Moderating Role of Parenting
2754,https://doi.org/10.1037/rep0000238,REHABILITATION PSYCHOLOGY,Personal Disability Identity in Retinitis Pigmentosa
5664,https://doi.org/10.1007/s40617-018-0222-3,BEHAVIOR ANALYSIS IN PRACTICE,Emotional Overtones of Behavior Analysis Terms in English and Five Other Languages
3995,https://doi.org/10.1016/j.addbeh.2018.05.002,ADDICTIVE BEHAVIORS,Role preferences of patients with alcohol use disorders
5817,https://doi.org/10.1177/0093854818762483,CRIMINAL JUSTICE AND BEHAVIOR,Cross-Validation of the Discrimination and Calibration Properties of the VRAG-R in a Treated Sexual Offender Sample
4892,https://doi.org/10.1080/23279095.2017.1323754,APPLIED NEUROPSYCHOLOGY-ADULT,Variance in caregiver burden predicted by patient behaviors versus neuropsychological profile
6774,https://doi.org/10.1016/j.brat.2018.01.009,BEHAVIOUR RESEARCH AND THERAPY,Processes and pathways mediating the experience of social anxiety and negative rumination
3109,https://doi.org/10.1016/j.jsat.2018.08.006,JOURNAL OF SUBSTANCE ABUSE TREATMENT,Variations in prescription drug monitoring program use by prescriber specialty
2821,https://doi.org/NA,BEHAVIOR THERAPY,"I Did OK, but Did I Like It? Using Ecological Momentary Assessment to Examine Perceptions of Social Interactions Associated With Severity of Social Anxiety and Depression"
4174,https://doi.org/10.1080/10926771.2017.1410746,JOURNAL OF AGGRESSION MALTREATMENT & TRAUMA,"Exploring e Relationship Between Child Maltreatment, Intimate Partner Violence Victimization, and Self-Injurious Thoughts and Behaviors"
4622,https://doi.org/10.1111/1467-6427.12168,JOURNAL OF FAMILY THERAPY,A work-individual-family inquiry on mental health and family responsibilities of dealers employed in the Macau gaming industry
3740,https://doi.org/10.1093/arclin/acx104,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,Personality and Primary Emotional Traits: Disentangling Multiple Sclerosis Related Fatigue and Depression
3169,https://doi.org/10.1080/00224499.2017.1303438,JOURNAL OF SEX RESEARCH,Implicit and Explicit Attitudes Toward Sex and Romance in Asexuals
6627,https://doi.org/10.1037/pap0000152,PSYCHOANALYTIC PSYCHOLOGY,Resolving Alliance Ruptures from an Attachment-Informed Perspective
3546,https://doi.org/10.1007/s10896-018-9975-2,JOURNAL OF FAMILY VIOLENCE,"""He Wasn't Falling Apart ... We were Falling Apart' Understanding the Mental Health Impacts on Parents of Youth Who Sexually Offend"
1151,https://doi.org/10.1007/s10862-018-9648-8,JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,Psychometric Properties of the Response to Anxiety Questionnaire
3565,https://doi.org/10.1080/10926771.2017.1382638,JOURNAL OF AGGRESSION MALTREATMENT & TRAUMA,Prevalence and Predictors of Psychological Violence Against Male Victims in Intimate Relationships in Canada
5675,https://doi.org/10.6092/2282-1619/2018.6.1827,MEDITERRANEAN JOURNAL OF CLINICAL PSYCHOLOGY,The Effectiveness of Social Skills Training on Reducing Autistic Children's Behavioral Problems
7860,https://doi.org/10.1080/13803395.2017.1313392,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,Control over interfering memories in eating disorders
3578,https://doi.org/10.4088/JCP.17m11612,JOURNAL OF CLINICAL PSYCHIATRY,Prevalence of Impulsive-Compulsive Symptoms in Elderly Parkinson's Disease Patients: A Case-Control Study
4433,https://doi.org/10.1037/pha0000197,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,Effects of Oxytocin on Working Memory and Executive Control System Connectivity in Posttraumatic Stress Disorder
4027,https://doi.org/10.1016/j.jcbs.2018.06.004,JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,The <i>Mindful Way through the Semester</i>: Evaluating the feasibility of delivering an acceptance-based behavioral program online
4635,https://doi.org/10.1177/2043808718778981,JOURNAL OF EXPERIMENTAL PSYCHOPATHOLOGY,Factors leading to immersion in obsessions
3252,https://doi.org/10.1111/bjhp.12320,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,The physical and psychological health benefits of positive emotional writing: Investigating the moderating role of Type D (distressed) personality
5521,https://doi.org/10.1002/jclp.22551,JOURNAL OF CLINICAL PSYCHOLOGY,Motivation and treatment credibility predict alliance in cognitive behavioral treatment for youth with anxiety disorders in community clinics
1293,https://doi.org/10.1037/per0000306,PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,Hervey Cleckley (1903-1984): Contributions to the Study of Psychopathy
2015,https://doi.org/10.1016/j.addbeh.2017.11.039,ADDICTIVE BEHAVIORS,Mobile phone sensors and supervised machine learning to identify alcohol use events in young adults: Implications for just-in-time adaptive interventions
1406,https://doi.org/10.1037/rep0000172,REHABILITATION PSYCHOLOGY,Qualitative Study of Barriers and Facilitators to Cigarette Smoking After Spinal Cord Injury
3196,https://doi.org/10.1186/s40337-018-0214-2,JOURNAL OF EATING DISORDERS,Self-injurious behaviour in patients with anorexia nervosa: a quantitative study
7231,https://doi.org/10.1007/s10802-017-0319-0,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,Emotion-Focused Cognitive-Behavioral Therapy for Youth with Anxiety Disorders: A Randomized Trial
2609,https://doi.org/10.1177/1073191116680448,ASSESSMENT,A Computer Adaptive Measure of Delay Discounting
4669,https://doi.org/10.1016/j.addbeh.2018.05.007,ADDICTIVE BEHAVIORS,Prevalence and factors associated with use of hookah tobacco among young adults in the US
7796,https://doi.org/10.1080/10640266.2018.1418264,EATING DISORDERS,Restrictive eating is associated with emotion regulation difficulties in a non-clinical sample
8081,https://doi.org/10.1027/2512-8442/a000001,EUROPEAN JOURNAL OF HEALTH PSYCHOLOGY,"An Examination of the ""Freshman-15"" in Germany Predictors of Weight Change in Female University Students"
4001,https://doi.org/10.1017/S003329171700352X,PSYCHOLOGICAL MEDICINE,Reduced cortical thickness and increased gyrification in generalized anxiety disorder: a 3 T MRI study
2,https://doi.org/NA,INTERNATIONAL JOURNAL OF INTEGRATIVE PSYCHOTHERAPY,The Compatibility of Person-Centred Therapy and Buddhist Teachings
7816,https://doi.org/10.1080/16506073.2017.1357749,COGNITIVE BEHAVIOUR THERAPY,Anxiety sensitivity moderates the painful effects of feeling burdensome to others
